category,movie_title,positive,neutral,negative
movies_theaters,The Shawshank Redemption,36.36363636363637,50.0,13.636363636363637
movies_theaters,The Godfather,36.36363636363637,56.06060606060606,7.575757575757576
movies_theaters,The Godfather: Part II,30.434782608695652,58.69565217391305,10.869565217391305
movies_theaters,The Dark Knight,26.027397260273972,9.58904109589041,64.38356164383562
movies_theaters,12 Angry Men,25.0,3.125,71.875
movies_theaters,Schindler's List,28.571428571428573,62.244897959183675,9.183673469387756
movies_theaters,The Lord of the Rings: The Return of the King,31.182795698924732,65.59139784946237,3.225806451612903
movies_theaters,Pulp Fiction,19.753086419753085,74.07407407407408,6.172839506172839
movies_theaters,"The Good, the Bad and the Ugly",25.675675675675677,16.216216216216218,58.108108108108105
movies_theaters,The Lord of the Rings: The Fellowship of the Ring,23.529411764705884,67.6470588235294,8.823529411764707
